chunksize, num_threads, reps, t1, res1, t2, res2 
8, 16, 07, -343021.474766, 0.136888, -25242644.603147, 1.045098
8, 16, 08, -343021.474766, 0.152452, -25242644.603147, 1.052109
8, 16, 09, -343021.474766, 0.156546, -25242644.603147, 1.045585
8, 16, 10, -343021.474766, 0.132844, -25242644.603147, 1.040967
16, 1, 01, -343021.474766, 1.669915, -25242644.603147, 8.670772
16, 1, 02, -343021.474766, 1.641526, -25242644.603147, 8.672652
16, 1, 03, -343021.474766, 1.674030, -25242644.603147, 8.672952
16, 1, 04, -343021.474766, 1.641083, -25242644.603147, 8.787496
16, 1, 05, -343021.474766, 1.641615, -25242644.603147, 8.672204
16, 1, 06, -343021.474766, 1.641445, -25242644.603147, 8.675169
16, 1, 07, -343021.474766, 1.673282, -25242644.603147, 8.673188
16, 1, 08, -343021.474766, 1.641146, -25242644.603147, 8.673840
16, 1, 09, -343021.474766, 1.671130, -25242644.603147, 8.667678
16, 1, 10, -343021.474766, 1.646845, -25242644.603147, 8.669259
16, 2, 01, -343021.474766, 0.866643, -25242644.603147, 4.408548
16, 2, 02, -343021.474766, 0.855971, -25242644.603147, 4.408295
16, 2, 03, -343021.474766, 0.853556, -25242644.603147, 4.407181
16, 2, 04, -343021.474766, 0.857615, -25242644.603147, 4.411188
16, 2, 05, -343021.474766, 0.846242, -25242644.603147, 4.407531
16, 2, 06, -343021.474766, 0.839370, -25242644.603147, 4.412304
16, 2, 07, -343021.474766, 0.857922, -25242644.603147, 4.407839
16, 2, 08, -343021.474766, 0.839468, -25242644.603147, 4.408770
16, 2, 09, -343021.474766, 0.858907, -25242644.603147, 4.407089
16, 2, 10, -343021.474766, 0.842417, -25242644.603147, 4.412117
16, 4, 01, -343021.474766, 0.456700, -25242644.603147, 2.206580
16, 4, 02, -343021.474766, 0.417945, -25242644.603147, 2.206468
16, 4, 03, -343021.474766, 0.418238, -25242644.603147, 2.209119
16, 4, 04, -343021.474766, 0.440786, -25242644.603147, 2.205493
16, 4, 05, -343021.474766, 0.439460, -25242644.603147, 2.205299
16, 4, 06, -343021.474766, 0.439910, -25242644.603147, 2.206125
16, 4, 07, -343021.474766, 0.441598, -25242644.603147, 2.206436
16, 4, 08, -343021.474766, 0.420906, -25242644.603147, 2.205537
16, 4, 09, -343021.474766, 0.417950, -25242644.603147, 2.205600
16, 4, 10, -343021.474766, 0.422387, -25242644.603147, 2.205239
16, 6, 01, -343021.474766, 0.310002, -25242644.603147, 2.075889
16, 6, 02, -343021.474766, 0.373308, -25242644.603147, 2.074405
16, 6, 03, -343021.474766, 0.323059, -25242644.603147, 2.074288
16, 6, 04, -343021.474766, 0.309745, -25242644.603147, 2.073925
16, 6, 05, -343021.474766, 0.291205, -25242644.603147, 2.077734
16, 6, 06, -343021.474766, 0.333711, -25242644.603147, 2.074122
16, 6, 07, -343021.474766, 0.299413, -25242644.603147, 2.074163
16, 6, 08, -343021.474766, 0.283971, -25242644.603147, 2.074075
16, 6, 09, -343021.474766, 0.324066, -25242644.603147, 2.075004
16, 6, 10, -343021.474766, 0.307281, -25242644.603147, 2.075846
16, 8, 01, -343021.474766, 0.261092, -25242644.603147, 2.074539
16, 8, 02, -343021.474766, 0.243395, -25242644.603147, 2.074043
16, 8, 03, -343021.474766, 0.293228, -25242644.603147, 2.076546
16, 8, 04, -343021.474766, 0.255947, -25242644.603147, 2.073826
16, 8, 05, -343021.474766, 0.238840, -25242644.603147, 2.073193
16, 8, 06, -343021.474766, 0.241025, -25242644.603147, 2.072712
16, 8, 07, -343021.474766, 0.242123, -25242644.603147, 2.072677
16, 8, 08, -343021.474766, 0.243504, -25242644.603147, 2.083783
16, 8, 09, -343021.474766, 0.245361, -25242644.603147, 2.073241
16, 8, 10, -343021.474766, 0.283639, -25242644.603147, 2.073316
16, 16, 01, -343021.474766, 0.142544, -25242644.603147, 2.074432
16, 16, 02, -343021.474766, 0.154104, -25242644.603147, 2.079838
16, 16, 03, -343021.474766, 0.163597, -25242644.603147, 2.074585
16, 16, 04, -343021.474766, 0.140614, -25242644.603147, 2.074391
16, 16, 05, -343021.474766, 0.136094, -25242644.603147, 2.074215
16, 16, 06, -343021.474766, 0.146544, -25242644.603147, 2.074752
16, 16, 07, -343021.474766, 0.143279, -25242644.603147, 2.074642
16, 16, 08, -343021.474766, 0.163340, -25242644.603147, 2.073644
16, 16, 09, -343021.474766, 0.160284, -25242644.603147, 2.074841
16, 16, 10, -343021.474766, 0.149315, -25242644.603147, 2.084634
32, 1, 01, -343021.474766, 1.669468, -25242644.603147, 8.667664
32, 1, 02, -343021.474766, 1.678002, -25242644.603147, 8.668380
32, 1, 03, -343021.474766, 1.677062, -25242644.603147, 8.669130
32, 1, 04, -343021.474766, 1.675105, -25242644.603147, 8.673330
32, 1, 05, -343021.474766, 1.642699, -25242644.603147, 8.674754
32, 1, 06, -343021.474766, 1.669708, -25242644.603147, 8.674601
32, 1, 07, -343021.474766, 1.641404, -25242644.603147, 8.672729
32, 1, 08, -343021.474766, 1.676634, -25242644.603147, 8.673885
32, 1, 09, -343021.474766, 1.671931, -25242644.603147, 8.674191
32, 1, 10, -343021.474766, 1.641637, -25242644.603147, 8.682261
32, 2, 01, -343021.474766, 0.859147, -25242644.603147, 4.400512
32, 2, 02, -343021.474766, 0.844027, -25242644.603147, 4.405480
32, 2, 03, -343021.474766, 0.841989, -25242644.603147, 4.402014
32, 2, 04, -343021.474766, 0.852348, -25242644.603147, 4.405744
32, 2, 05, -343021.474766, 0.842097, -25242644.603147, 4.402696
32, 2, 06, -343021.474766, 0.838917, -25242644.603147, 4.401959
32, 2, 07, -343021.474766, 0.844702, -25242644.603147, 4.401701
32, 2, 08, -343021.474766, 0.856333, -25242644.603147, 4.402066
32, 2, 09, -343021.474766, 0.854494, -25242644.603147, 4.405139
32, 2, 10, -343021.474766, 0.841746, -25242644.603147, 4.402527
32, 4, 01, -343021.474766, 0.458434, -25242644.603147, 3.886094
32, 4, 02, -343021.474766, 0.418402, -25242644.603147, 3.884926
32, 4, 03, -343021.474766, 0.424442, -25242644.603147, 3.885916
32, 4, 04, -343021.474766, 0.435946, -25242644.603147, 3.885930
32, 4, 05, -343021.474766, 0.448123, -25242644.603147, 3.883070
32, 4, 06, -343021.474766, 0.430933, -25242644.603147, 3.886198
32, 4, 07, -343021.474766, 0.450653, -25242644.603147, 3.884434
32, 4, 08, -343021.474766, 0.436459, -25242644.603147, 3.883931
32, 4, 09, -343021.474766, 0.434218, -25242644.603147, 3.883524
32, 4, 10, -343021.474766, 0.434875, -25242644.603147, 3.882740
32, 6, 01, -343021.474766, 0.315407, -25242644.603147, 3.886302
32, 6, 02, -343021.474766, 0.299118, -25242644.603147, 3.885350
32, 6, 03, -343021.474766, 0.334677, -25242644.603147, 3.887105
32, 6, 04, -343021.474766, 0.324764, -25242644.603147, 3.895592
32, 6, 05, -343021.474766, 0.334135, -25242644.603147, 3.887168
32, 6, 06, -343021.474766, 0.311712, -25242644.603147, 3.885849
32, 6, 07, -343021.474766, 0.307567, -25242644.603147, 3.885137
32, 6, 08, -343021.474766, 0.340947, -25242644.603147, 3.885735
32, 6, 09, -343021.474766, 0.303057, -25242644.603147, 3.885742
32, 6, 10, -343021.474766, 0.314533, -25242644.603147, 3.885853
32, 8, 01, -343021.474766, 0.256124, -25242644.603147, 3.885384
32, 8, 02, -343021.474766, 0.244870, -25242644.603147, 3.885270
32, 8, 03, -343021.474766, 0.228175, -25242644.603147, 3.885256
32, 8, 04, -343021.474766, 0.244383, -25242644.603147, 3.886038
32, 8, 05, -343021.474766, 0.250211, -25242644.603147, 3.885532
32, 8, 06, -343021.474766, 0.261901, -25242644.603147, 3.885503
32, 8, 07, -343021.474766, 0.232943, -25242644.603147, 3.885394
32, 8, 08, -343021.474766, 0.266480, -25242644.603147, 3.885513
32, 8, 09, -343021.474766, 0.241122, -25242644.603147, 3.886165
32, 8, 10, -343021.474766, 0.262247, -25242644.603147, 3.888117
32, 16, 01, -343021.474766, 0.161078, -25242644.603147, 3.887317
32, 16, 02, -343021.474766, 0.153681, -25242644.603147, 3.886620
32, 16, 03, -343021.474766, 0.148159, -25242644.603147, 3.886746
32, 16, 04, -343021.474766, 0.171658, -25242644.603147, 3.894450
32, 16, 05, -343021.474766, 0.146744, -25242644.603147, 3.903544
32, 16, 06, -343021.474766, 0.166927, -25242644.603147, 3.889084
32, 16, 07, -343021.474766, 0.155967, -25242644.603147, 3.886128
32, 16, 08, -343021.474766, 0.145699, -25242644.603147, 3.891080
32, 16, 09, -343021.474766, 0.160910, -25242644.603147, 3.888258
32, 16, 10, -343021.474766, 0.155958, -25242644.603147, 3.901662
64, 1, 01, -343021.474766, 1.674321, -25242644.603147, 8.671488
64, 1, 02, -343021.474766, 1.682474, -25242644.603147, 8.669621
64, 1, 03, -343021.474766, 1.641416, -25242644.603147, 8.669352
64, 1, 04, -343021.474766, 1.672137, -25242644.603147, 8.670279
64, 1, 05, -343021.474766, 1.641264, -25242644.603147, 8.672894
64, 1, 06, -343021.474766, 1.672715, -25242644.603147, 8.674098
64, 1, 07, -343021.474766, 1.672532, -25242644.603147, 8.672785
64, 1, 08, -343021.474766, 1.668035, -25242644.603147, 8.674279
64, 1, 09, -343021.474766, 1.669185, -25242644.603147, 8.672327
64, 1, 10, -343021.474766, 1.670073, -25242644.603147, 8.673373
64, 2, 01, -343021.474766, 0.864385, -25242644.603147, 4.921835
64, 2, 02, -343021.474766, 0.860015, -25242644.603147, 4.919032
64, 2, 03, -343021.474766, 0.855769, -25242644.603147, 4.917597
64, 2, 04, -343021.474766, 0.824533, -25242644.603147, 4.919060
64, 2, 05, -343021.474766, 0.842768, -25242644.603147, 4.917243
64, 2, 06, -343021.474766, 0.856830, -25242644.603147, 4.921794
64, 2, 07, -343021.474766, 0.838481, -25242644.603147, 4.916921
64, 2, 08, -343021.474766, 0.860342, -25242644.603147, 4.956514
64, 2, 09, -343021.474766, 0.864513, -25242644.603147, 4.917480
64, 2, 10, -343021.474766, 0.851875, -25242644.603147, 4.917127
64, 4, 01, -343021.474766, 0.457253, -25242644.603147, 4.921284
64, 4, 02, -343021.474766, 0.427577, -25242644.603147, 4.919377
64, 4, 03, -343021.474766, 0.439716, -25242644.603147, 4.921099
64, 4, 04, -343021.474766, 0.450832, -25242644.603147, 4.923032
64, 4, 05, -343021.474766, 0.441429, -25242644.603147, 4.920143
64, 4, 06, -343021.474766, 0.445291, -25242644.603147, 4.919125
