num_threads, kind, chunksize, reps, res1, t1, res2, t2
4, 2, 32, 01, -343021.474766, 0.447956, -25242644.603147, 3.887877
4, 2, 32, 02, -343021.474766, 0.428817, -25242644.603147, 3.890128
4, 2, 32, 03, -343021.474766, 0.444755, -25242644.603147, 3.888210
4, 2, 32, 04, -343021.474766, 0.445179, -25242644.603147, 3.905144
4, 2, 32, 05, -343021.474766, 0.456378, -25242644.603147, 3.887370
4, 2, 32, 06, -343021.474766, 0.452610, -25242644.603147, 3.889156
4, 2, 32, 07, -343021.474766, 0.453203, -25242644.603147, 3.889420
4, 2, 32, 08, -343021.474766, 0.447005, -25242644.603147, 3.888583
4, 2, 32, 09, -343021.474766, 0.459917, -25242644.603147, 3.888114
4, 2, 32, 10, -343021.474766, 0.464253, -25242644.603147, 3.899769
4, 2, 64, 01, -343021.474766, 0.491205, -25242644.603147, 4.926181
4, 2, 64, 02, -343021.474766, 0.472236, -25242644.603147, 4.925728
4, 2, 64, 03, -343021.474766, 0.474021, -25242644.603147, 4.925000
4, 2, 64, 04, -343021.474766, 0.475735, -25242644.603147, 4.925376
4, 2, 64, 05, -343021.474766, 0.471966, -25242644.603147, 4.926224
4, 2, 64, 06, -343021.474766, 0.472992, -25242644.603147, 4.923963
4, 2, 64, 07, -343021.474766, 0.473370, -25242644.603147, 4.927440
4, 2, 64, 08, -343021.474766, 0.474000, -25242644.603147, 4.927394
4, 2, 64, 09, -343021.474766, 0.464724, -25242644.603147, 4.925377
4, 2, 64, 10, -343021.474766, 0.480988, -25242644.603147, 4.925087
4, 3, 1, 01, -343021.474766, 0.453128, -25242644.603147, 5.444957
4, 3, 1, 02, -343021.474766, 0.455076, -25242644.603147, 5.444512
4, 3, 1, 03, -343021.474766, 0.454113, -25242644.603147, 5.444290
4, 3, 1, 04, -343021.474766, 0.455806, -25242644.603147, 5.446039
4, 3, 1, 05, -343021.474766, 0.450081, -25242644.603147, 5.444706
4, 3, 1, 06, -343021.474766, 0.453182, -25242644.603147, 5.444593
4, 3, 1, 07, -343021.474766, 0.456431, -25242644.603147, 5.445118
4, 3, 1, 08, -343021.474766, 0.456436, -25242644.603147, 5.444215
4, 3, 1, 09, -343021.474766, 0.437254, -25242644.603147, 5.444131
4, 3, 1, 10, -343021.474766, 0.443389, -25242644.603147, 5.443512
4, 3, 2, 01, -343021.474766, 0.452360, -25242644.603147, 5.445887
4, 3, 2, 02, -343021.474766, 0.428872, -25242644.603147, 5.446274
4, 3, 2, 03, -343021.474766, 0.439335, -25242644.603147, 5.444347
4, 3, 2, 04, -343021.474766, 0.429979, -25242644.603147, 5.444578
4, 3, 2, 05, -343021.474766, 0.443718, -25242644.603147, 5.443503
4, 3, 2, 06, -343021.474766, 0.451966, -25242644.603147, 5.442041
4, 3, 2, 07, -343021.474766, 0.448858, -25242644.603147, 5.442633
4, 3, 2, 08, -343021.474766, 0.430910, -25242644.603147, 5.443530
4, 3, 2, 09, -343021.474766, 0.449585, -25242644.603147, 5.442978
4, 3, 2, 10, -343021.474766, 0.460928, -25242644.603147, 5.443498
4, 3, 4, 01, -343021.474766, 0.458161, -25242644.603147, 5.443860
4, 3, 4, 02, -343021.474766, 0.446101, -25242644.603147, 5.444345
4, 3, 4, 03, -343021.474766, 0.445003, -25242644.603147, 5.446384
4, 3, 4, 04, -343021.474766, 0.426070, -25242644.603147, 5.443396
4, 3, 4, 05, -343021.474766, 0.444504, -25242644.603147, 5.443433
4, 3, 4, 06, -343021.474766, 0.433781, -25242644.603147, 5.443193
4, 3, 4, 07, -343021.474766, 0.444123, -25242644.603147, 5.442476
4, 3, 4, 08, -343021.474766, 0.428254, -25242644.603147, 5.442725
4, 3, 4, 09, -343021.474766, 0.445092, -25242644.603147, 5.445000
4, 3, 4, 10, -343021.474766, 0.440838, -25242644.603147, 5.443921
4, 3, 8, 01, -343021.474766, 0.444339, -25242644.603147, 5.442869
4, 3, 8, 02, -343021.474766, 0.449336, -25242644.603147, 5.445300
