exec, num_threads, reps, res1, t1, res2, t2 
2, 16, 7, -343021.474766, 0.194193, -25242644.603147, 0.758712
2, 16, 8, -343021.474766, 0.188567, -25242644.603147, 0.775101
2, 16, 9, -343021.474766, 0.175795, -25242644.603147, 0.748672
2, 16, 10, -343021.474766, 0.192235, -25242644.603147, 0.760270
3, 1, 0, -343021.474766, 1.688129, -25242644.603147, 8.658287
3, 1, 1, -343021.474766, 1.676199, -25242644.603147, 8.658866
3, 1, 2, -343021.474766, 1.679176, -25242644.603147, 8.658493
3, 1, 3, -343021.474766, 1.681168, -25242644.603147, 8.659374
3, 1, 4, -343021.474766, 1.677060, -25242644.603147, 8.658469
3, 1, 5, -343021.474766, 1.672153, -25242644.603147, 8.657553
3, 1, 6, -343021.474766, 1.669585, -25242644.603147, 8.657050
3, 1, 7, -343021.474766, 1.642444, -25242644.603147, 8.657626
3, 1, 8, -343021.474766, 1.643630, -25242644.603147, 8.657251
3, 1, 9, -343021.474766, 1.682701, -25242644.603147, 8.658414
3, 1, 10, -343021.474766, 1.642962, -25242644.603147, 8.657695
3, 2, 0, -343021.474766, 0.866119, -25242644.603147, 6.211744
3, 2, 1, -343021.474766, 0.859373, -25242644.603147, 6.212314
3, 2, 2, -343021.474766, 0.849994, -25242644.603147, 6.214880
3, 2, 3, -343021.474766, 0.863155, -25242644.603147, 6.212287
3, 2, 4, -343021.474766, 0.865756, -25242644.603147, 6.211205
3, 2, 5, -343021.474766, 0.859041, -25242644.603147, 6.212254
3, 2, 6, -343021.474766, 0.864436, -25242644.603147, 6.210453
3, 2, 7, -343021.474766, 0.866564, -25242644.603147, 6.213900
3, 2, 8, -343021.474766, 0.873988, -25242644.603147, 6.210753
3, 2, 9, -343021.474766, 0.864622, -25242644.603147, 6.211822
3, 2, 10, -343021.474766, 0.864881, -25242644.603147, 6.211933
3, 4, 0, -343021.474766, 0.462139, -25242644.603147, 4.406369
3, 4, 1, -343021.474766, 0.489722, -25242644.603147, 4.405978
3, 4, 2, -343021.474766, 0.451446, -25242644.603147, 4.406510
3, 4, 3, -343021.474766, 0.464681, -25242644.603147, 4.407160
3, 4, 4, -343021.474766, 0.463687, -25242644.603147, 4.407099
3, 4, 5, -343021.474766, 0.456608, -25242644.603147, 4.409134
3, 4, 6, -343021.474766, 0.450921, -25242644.603147, 4.406577
3, 4, 7, -343021.474766, 0.453769, -25242644.603147, 4.407078
3, 4, 8, -343021.474766, 0.452791, -25242644.603147, 4.407040
3, 4, 9, -343021.474766, 0.444331, -25242644.603147, 4.406878
3, 4, 10, -343021.474766, 0.436918, -25242644.603147, 4.406305
3, 6, 0, -343021.474766, 0.338563, -25242644.603147, 2.732280
3, 6, 1, -343021.474766, 0.311651, -25242644.603147, 2.731267
3, 6, 2, -343021.474766, 0.311194, -25242644.603147, 2.732300
3, 6, 3, -343021.474766, 0.306210, -25242644.603147, 2.731471
3, 6, 4, -343021.474766, 0.323328, -25242644.603147, 2.732015
3, 6, 5, -343021.474766, 0.335642, -25242644.603147, 2.732167
3, 6, 6, -343021.474766, 0.332610, -25242644.603147, 2.732714
3, 6, 7, -343021.474766, 0.336569, -25242644.603147, 2.731628
3, 6, 8, -343021.474766, 0.324077, -25242644.603147, 2.732253
3, 6, 9, -343021.474766, 0.322715, -25242644.603147, 2.732322
3, 6, 10, -343021.474766, 0.304387, -25242644.603147, 2.731899
3, 8, 0, -343021.474766, 0.280484, -25242644.603147, 1.581264
3, 8, 1, -343021.474766, 0.258463, -25242644.603147, 1.579572
3, 8, 2, -343021.474766, 0.283095, -25242644.603147, 1.578596
3, 8, 3, -343021.474766, 0.254430, -25242644.603147, 1.578587
3, 8, 4, -343021.474766, 0.243848, -25242644.603147, 1.579709
3, 8, 5, -343021.474766, 0.239795, -25242644.603147, 1.578153
3, 8, 6, -343021.474766, 0.279617, -25242644.603147, 1.579680
3, 8, 7, -343021.474766, 0.269848, -25242644.603147, 1.580697
3, 8, 8, -343021.474766, 0.264764, -25242644.603147, 1.578475
3, 8, 9, -343021.474766, 0.249236, -25242644.603147, 1.579254
3, 8, 10, -343021.474766, 0.281165, -25242644.603147, 1.579542
3, 12, 0, -343021.474766, 0.206424, -25242644.603147, 1.072067
3, 12, 1, -343021.474766, 0.199398, -25242644.603147, 1.066693
3, 12, 2, -343021.474766, 0.201523, -25242644.603147, 1.071312
3, 12, 3, -343021.474766, 0.213606, -25242644.603147, 1.069217
3, 12, 4, -343021.474766, 0.184897, -25242644.603147, 1.073221
3, 12, 5, -343021.474766, 0.204253, -25242644.603147, 1.066660
3, 12, 6, -343021.474766, 0.220906, -25242644.603147, 1.067449
3, 12, 7, -343021.474766, 0.190521, -25242644.603147, 1.069920
3, 12, 8, -343021.474766, 0.208124, -25242644.603147, 1.068954
3, 12, 9, -343021.474766, 0.187863, -25242644.603147, 1.027182
3, 12, 10, -343021.474766, 0.191015, -25242644.603147, 1.063688
3, 16, 0, -343021.474766, 0.189972, -25242644.603147, 0.811176
3, 16, 1, -343021.474766, 0.185274, -25242644.603147, 0.794365
3, 16, 2, -343021.474766, 0.181167, -25242644.603147, 0.798484
3, 16, 3, -343021.474766, 0.162465, -25242644.603147, 0.828078
3, 16, 4, -343021.474766, 0.175461, -25242644.603147, 0.808077
3, 16, 5, -343021.474766, 0.171126, -25242644.603147, 0.782856
3, 16, 6, -343021.474766, 0.169817, -25242644.603147, 0.786127
3, 16, 7, -343021.474766, 0.177027, -25242644.603147, 0.833529
3, 16, 8, -343021.474766, 0.191797, -25242644.603147, 0.817803
3, 16, 9, -343021.474766, 0.162931, -25242644.603147, 0.782738
3, 16, 10, -343021.474766, 0.186510, -25242644.603147, 0.781843
