num_threads, kind, chunksize, reps, t1, res1, t2, res2 
4, 1, 8, 07, -343021.474766, 0.466178, -25242644.603147, 2.336086
4, 1, 8, 08, -343021.474766, 0.462278, -25242644.603147, 2.374800
4, 1, 8, 09, -343021.474766, 0.468351, -25242644.603147, 2.335875
4, 1, 8, 10, -343021.474766, 0.468711, -25242644.603147, 2.336787
4, 1, 16, 01, -343021.474766, 0.478042, -25242644.603147, 3.107508
4, 1, 16, 02, -343021.474766, 0.480179, -25242644.603147, 3.106067
4, 1, 16, 03, -343021.474766, 0.477463, -25242644.603147, 3.106555
4, 1, 16, 04, -343021.474766, 0.475100, -25242644.603147, 3.106267
4, 1, 16, 05, -343021.474766, 0.473758, -25242644.603147, 3.106333
4, 1, 16, 06, -343021.474766, 0.477534, -25242644.603147, 3.106330
4, 1, 16, 07, -343021.474766, 0.478969, -25242644.603147, 3.106216
4, 1, 16, 08, -343021.474766, 0.472809, -25242644.603147, 3.106268
4, 1, 16, 09, -343021.474766, 0.479636, -25242644.603147, 3.106099
4, 1, 16, 10, -343021.474766, 0.483627, -25242644.603147, 3.106329
4, 1, 32, 01, -343021.474766, 0.506184, -25242644.603147, 4.788506
4, 1, 32, 02, -343021.474766, 0.498232, -25242644.603147, 4.787697
4, 1, 32, 03, -343021.474766, 0.501716, -25242644.603147, 4.788759
4, 1, 32, 04, -343021.474766, 0.506918, -25242644.603147, 4.789662
4, 1, 32, 05, -343021.474766, 0.770553, -25242644.603147, 4.787427
4, 1, 32, 06, -343021.474766, 0.505108, -25242644.603147, 4.787606
4, 1, 32, 07, -343021.474766, 0.493997, -25242644.603147, 4.791802
4, 1, 32, 08, -343021.474766, 0.503830, -25242644.603147, 4.787697
4, 1, 32, 09, -343021.474766, 0.496820, -25242644.603147, 4.787622
4, 1, 32, 10, -343021.474766, 0.480975, -25242644.603147, 4.787671
4, 1, 64, 01, -343021.474766, 0.556095, -25242644.603147, 5.431193
4, 1, 64, 02, -343021.474766, 0.560503, -25242644.603147, 5.431548
4, 1, 64, 03, -343021.474766, 0.549276, -25242644.603147, 5.430390
4, 1, 64, 04, -343021.474766, 0.558194, -25242644.603147, 5.431838
4, 1, 64, 05, -343021.474766, 0.552389, -25242644.603147, 5.432499
4, 1, 64, 06, -343021.474766, 0.563299, -25242644.603147, 5.434201
4, 1, 64, 07, -343021.474766, 0.552826, -25242644.603147, 5.432556
4, 1, 64, 08, -343021.474766, 0.553067, -25242644.603147, 5.433077
4, 1, 64, 09, -343021.474766, 0.560039, -25242644.603147, 5.429872
4, 1, 64, 10, -343021.474766, 0.545431, -25242644.603147, 5.433384
4, 2, 1, 01, -343021.474766, 0.487518, -25242644.603147, 2.596927
4, 2, 1, 02, -343021.474766, 0.481756, -25242644.603147, 2.681158
4, 2, 1, 03, -343021.474766, 0.472648, -25242644.603147, 2.690250
4, 2, 1, 04, -343021.474766, 0.490109, -25242644.603147, 2.673092
4, 2, 1, 05, -343021.474766, 0.482714, -25242644.603147, 2.655715
4, 2, 1, 06, -343021.474766, 0.487728, -25242644.603147, 2.662829
4, 2, 1, 07, -343021.474766, 0.483382, -25242644.603147, 2.725499
4, 2, 1, 08, -343021.474766, 0.482188, -25242644.603147, 2.695824
4, 2, 1, 09, -343021.474766, 0.577910, -25242644.603147, 2.676032
4, 2, 1, 10, -343021.474766, 0.485614, -25242644.603147, 2.669795
