exec, num_threads, reps, res1, t1, res2, t2 
2, 1, 6, -343021.474766, 1.680903, -25242644.603147, 8.653608
2, 1, 7, -343021.474766, 1.675313, -25242644.603147, 8.654630
2, 1, 8, -343021.474766, 1.669340, -25242644.603147, 8.655260
2, 1, 9, -343021.474766, 1.671480, -25242644.603147, 8.655099
2, 1, 10, -343021.474766, 1.678846, -25242644.603147, 8.653049
2, 2, 0, -343021.474766, 0.874117, -25242644.603147, 4.404066
2, 2, 1, -343021.474766, 0.854781, -25242644.603147, 4.400279
2, 2, 2, -343021.474766, 0.865214, -25242644.603147, 4.399414
2, 2, 3, -343021.474766, 0.870652, -25242644.603147, 4.399898
2, 2, 4, -343021.474766, 0.839423, -25242644.603147, 4.398475
2, 2, 5, -343021.474766, 0.852248, -25242644.603147, 4.399461
2, 2, 6, -343021.474766, 0.872720, -25242644.603147, 4.399177
2, 2, 7, -343021.474766, 0.851588, -25242644.603147, 4.399557
2, 2, 8, -343021.474766, 0.855344, -25242644.603147, 4.399004
2, 2, 9, -343021.474766, 0.868916, -25242644.603147, 4.399914
2, 2, 10, -343021.474766, 0.875114, -25242644.603147, 4.400963
2, 4, 0, -343021.474766, 0.459056, -25242644.603147, 2.204186
2, 4, 1, -343021.474766, 0.429653, -25242644.603147, 2.203376
2, 4, 2, -343021.474766, 0.437596, -25242644.603147, 2.203882
2, 4, 3, -343021.474766, 0.422560, -25242644.603147, 2.203586
2, 4, 4, -343021.474766, 0.448556, -25242644.603147, 2.203273
2, 4, 5, -343021.474766, 0.457474, -25242644.603147, 2.218888
2, 4, 6, -343021.474766, 0.452781, -25242644.603147, 2.203765
2, 4, 7, -343021.474766, 0.454735, -25242644.603147, 2.203036
2, 4, 8, -343021.474766, 0.448982, -25242644.603147, 2.203434
2, 4, 9, -343021.474766, 0.421970, -25242644.603147, 2.203393
2, 4, 10, -343021.474766, 0.435311, -25242644.603147, 2.203278
2, 6, 0, -343021.474766, 0.311752, -25242644.603147, 2.071503
2, 6, 1, -343021.474766, 0.312471, -25242644.603147, 2.071361
2, 6, 2, -343021.474766, 0.295031, -25242644.603147, 2.070787
2, 6, 3, -343021.474766, 0.306544, -25242644.603147, 2.070400
2, 6, 4, -343021.474766, 0.308524, -25242644.603147, 2.070086
2, 6, 5, -343021.474766, 0.330575, -25242644.603147, 2.071440
2, 6, 6, -343021.474766, 0.321701, -25242644.603147, 2.071078
2, 6, 7, -343021.474766, 0.302282, -25242644.603147, 2.070499
2, 6, 8, -343021.474766, 0.296461, -25242644.603147, 2.070907
2, 6, 9, -343021.474766, 0.316668, -25242644.603147, 2.070961
2, 6, 10, -343021.474766, 0.315959, -25242644.603147, 2.071029
2, 8, 0, -343021.474766, 0.244799, -25242644.603147, 2.071536
2, 8, 1, -343021.474766, 0.241386, -25242644.603147, 2.070182
2, 8, 2, -343021.474766, 0.225181, -25242644.603147, 2.071499
2, 8, 3, -343021.474766, 0.263479, -25242644.603147, 2.070000
2, 8, 4, -343021.474766, 0.225468, -25242644.603147, 2.071338
2, 8, 5, -343021.474766, 0.265563, -25242644.603147, 2.071161
2, 8, 6, -343021.474766, 0.245213, -25242644.603147, 2.070272
2, 8, 7, -343021.474766, 0.239282, -25242644.603147, 2.070720
2, 8, 8, -343021.474766, 0.265210, -25242644.603147, 2.071246
2, 8, 9, -343021.474766, 0.261645, -25242644.603147, 2.070725
2, 8, 10, -343021.474766, 0.254939, -25242644.603147, 2.071076
2, 12, 0, -343021.474766, 0.186268, -25242644.603147, 2.075728
2, 12, 1, -343021.474766, 0.198328, -25242644.603147, 2.071141
2, 12, 2, -343021.474766, 0.189470, -25242644.603147, 2.072857
2, 12, 3, -343021.474766, 0.162652, -25242644.603147, 2.091588
2, 12, 4, -343021.474766, 0.182495, -25242644.603147, 2.188187
