exec, num_threads, reps, res1, t1, res2, t2 
0, 4, 09, -343021.474766, 0.747005, -25242644.603147, 6.237232
0, 4, 10, -343021.474766, 0.745403, -25242644.603147, 6.236858
0, 6, 01, -343021.474766, 0.574767, -25242644.603147, 5.716275
0, 6, 02, -343021.474766, 0.523617, -25242644.603147, 5.719530
0, 6, 03, -343021.474766, 0.552183, -25242644.603147, 5.718134
0, 6, 04, -343021.474766, 0.537887, -25242644.603147, 5.717382
0, 6, 05, -343021.474766, 0.537167, -25242644.603147, 5.719338
0, 6, 06, -343021.474766, 0.530215, -25242644.603147, 5.716190
0, 6, 07, -343021.474766, 0.531074, -25242644.603147, 5.717481
0, 6, 08, -343021.474766, 0.550438, -25242644.603147, 5.714359
0, 6, 09, -343021.474766, 0.504340, -25242644.603147, 5.718776
0, 6, 10, -343021.474766, 0.520544, -25242644.603147, 5.717486
0, 8, 01, -343021.474766, 0.426494, -25242644.603147, 5.457224
0, 8, 02, -343021.474766, 0.419343, -25242644.603147, 5.459369
0, 8, 03, -343021.474766, 0.427618, -25242644.603147, 5.457505
0, 8, 04, -343021.474766, 0.423288, -25242644.603147, 5.458367
0, 8, 05, -343021.474766, 0.423469, -25242644.603147, 5.458449
0, 8, 06, -343021.474766, 0.461120, -25242644.603147, 5.459068
0, 8, 07, -343021.474766, 0.412725, -25242644.603147, 5.457743
0, 8, 08, -343021.474766, 0.472013, -25242644.603147, 5.458624
0, 8, 09, -343021.474766, 0.499301, -25242644.603147, 5.459077
0, 8, 10, -343021.474766, 0.421647, -25242644.603147, 5.457588
0, 16, 01, -343021.474766, 0.252534, -25242644.603147, 4.418775
0, 16, 02, -343021.474766, 0.289345, -25242644.603147, 4.420669
0, 16, 03, -343021.474766, 0.262997, -25242644.603147, 4.419802
0, 16, 04, -343021.474766, 0.312814, -25242644.603147, 4.419609
0, 16, 05, -343021.474766, 0.234211, -25242644.603147, 4.419904
0, 16, 06, -343021.474766, 0.228957, -25242644.603147, 4.420050
0, 16, 07, -343021.474766, 0.289258, -25242644.603147, 4.419635
0, 16, 08, -343021.474766, 0.281796, -25242644.603147, 4.419354
0, 16, 09, -343021.474766, 0.265248, -25242644.603147, 4.419967
0, 16, 10, -343021.474766, 0.327895, -25242644.603147, 4.419540
0, 28, 01, -343021.474766, 0.213117, -25242644.603147, 3.510259
0, 28, 02, -343021.474766, 0.218146, -25242644.603147, 3.511609
0, 28, 03, -343021.474766, 0.193824, -25242644.603147, 3.511403
0, 28, 04, -343021.474766, 0.161815, -25242644.603147, 3.511013
0, 28, 05, -343021.474766, 0.225934, -25242644.603147, 3.510898
0, 28, 06, -343021.474766, 0.230906, -25242644.603147, 3.511612
0, 28, 07, -343021.474766, 0.198727, -25242644.603147, 3.510051
0, 28, 08, -343021.474766, 0.204126, -25242644.603147, 3.510402
0, 28, 09, -343021.474766, 0.167889, -25242644.603147, 3.511703
0, 28, 10, -343021.474766, 0.165199, -25242644.603147, 3.509742
0, 36, 01, -343021.474766, 0.186002, -25242644.603147, 2.732577
0, 36, 02, -343021.474766, 0.187919, -25242644.603147, 2.731174
0, 36, 03, -343021.474766, 0.158002, -25242644.603147, 2.732107
0, 36, 04, -343021.474766, 0.168694, -25242644.603147, 2.731741
0, 36, 05, -343021.474766, 0.139630, -25242644.603147, 2.732748
0, 36, 06, -343021.474766, 0.140252, -25242644.603147, 2.733563
0, 36, 07, -343021.474766, 0.147739, -25242644.603147, 2.731733
0, 36, 08, -343021.474766, 0.145409, -25242644.603147, 2.732007
0, 36, 09, -343021.474766, 0.146002, -25242644.603147, 2.730739
0, 36, 10, -343021.474766, 0.147054, -25242644.603147, 2.736717
1, 1, 01, -343021.474766, 1.641897, -25242644.603147, 8.662527
1, 1, 02, -343021.474766, 1.677955, -25242644.603147, 8.663820
1, 1, 03, -343021.474766, 1.669106, -25242644.603147, 8.664103
1, 1, 04, -343021.474766, 1.670696, -25242644.603147, 8.663306
1, 1, 05, -343021.474766, 1.668290, -25242644.603147, 8.663244
1, 1, 06, -343021.474766, 1.642618, -25242644.603147, 8.663515
1, 1, 07, -343021.474766, 1.676136, -25242644.603147, 8.663179
1, 1, 08, -343021.474766, 1.673845, -25242644.603147, 8.663082
1, 1, 09, -343021.474766, 1.679754, -25242644.603147, 8.661677
1, 1, 10, -343021.474766, 1.642004, -25242644.603147, 8.661830
1, 2, 01, -343021.474766, 0.861743, -25242644.603147, 7.114998
1, 2, 02, -343021.474766, 0.859754, -25242644.603147, 7.115282
1, 2, 03, -343021.474766, 0.854666, -25242644.603147, 7.116133
1, 2, 04, -343021.474766, 0.855813, -25242644.603147, 7.113113
1, 2, 05, -343021.474766, 0.858911, -25242644.603147, 7.116207
1, 2, 06, -343021.474766, 0.852077, -25242644.603147, 7.119034
1, 2, 07, -343021.474766, 0.842481, -25242644.603147, 7.116440
1, 2, 08, -343021.474766, 0.857032, -25242644.603147, 7.114066
1, 2, 09, -343021.474766, 0.841638, -25242644.603147, 7.114257
1, 2, 10, -343021.474766, 0.856539, -25242644.603147, 7.115174
1, 4, 01, -343021.474766, 0.455784, -25242644.603147, 6.209500
1, 4, 02, -343021.474766, 0.447220, -25242644.603147, 6.209509
1, 4, 03, -343021.474766, 0.444123, -25242644.603147, 6.210890
1, 4, 04, -343021.474766, 0.452098, -25242644.603147, 6.211376
1, 4, 05, -343021.474766, 0.419594, -25242644.603147, 6.210498
